transaction_id,merchant_id,user_id,amount,category,payment_method,account_age_days,historical_return_rate,past_chargebacks,address_changed_hours,device_trust_score,promo_code_used,ip_country_match,is_vpn_or_proxy,same_device_account_count,device_hash,vpa,delivery_address,is_return_fraud,is_chargeback_risk,is_abuse_ring,is_fraud
txn_rzp_000012,mch_quick_vouchers,usr_57985,31454.45,LUXURY_FASHION,DEBIT_CARD,139,0.2095,0,40.1,90.1,1,1,0,3,dev_hash_33416,user_619@okhdfcbank,"House No 468, Street 4, Bengaluru",0,0,0,0
txn_rzp_000013,mch_quick_vouchers,usr_84748,78621.33,JEWELRY,NETBANKING,354,0.1428,0,29.7,75.1,1,1,0,2,dev_hash_79514,user_100@okhdfcbank,"House No 307, Street 11, Bengaluru",0,0,0,0
txn_rzp_000014,mch_fashion_hub,usr_15662,5428.51,DIGITAL_VOUCHER,CREDIT_CARD,218,0.1789,0,2.7,47.9,1,1,0,1,dev_hash_73699,user_935@okhdfcbank,"House No 36, Street 18, Bengaluru",0,0,0,0
txn_rzp_000015,mch_gadget_bazar,usr_87474,2801.6,FOOTWEAR,NETBANKING,125,0.1022,2,20.0,98.6,1,1,0,3,dev_hash_80686,user_873@okhdfcbank,"House No 374, Street 7, Bengaluru",0,1,0,1
txn_rzp_000016,mch_quick_vouchers,usr_58422,26387.38,JEWELRY,DEBIT_CARD,234,0.1512,0,129.9,100.0,1,1,0,1,dev_hash_40161,user_702@okhdfcbank,"House No 113, Street 1, Bengaluru",0,0,0,0
txn_rzp_000017,mch_fashion_hub,usr_31007,33870.21,ELECTRONICS,UPI_INTENT,37,0.1674,0,18.5,58.9,0,1,0,3,dev_hash_38080,user_652@okhdfcbank,"House No 68, Street 19, Bengaluru",0,0,0,0
txn_rzp_000018,mch_luxe_jewels,usr_32850,3155.58,FOOTWEAR,DEBIT_CARD,88,0.2092,1,151.1,62.1,1,1,0,3,dev_hash_71213,user_984@okhdfcbank,"House No 374, Street 2, Bengaluru",0,0,0,0
txn_rzp_000019,mch_fashion_hub,usr_8944,1272.05,FOOTWEAR,COD,194,0.1074,0,163.8,82.7,1,1,0,2,dev_hash_68800,user_243@okhdfcbank,"House No 217, Street 6, Bengaluru",0,0,0,0
txn_rzp_000020,mch_luxe_jewels,usr_33742,35512.68,ELECTRONICS,DEBIT_CARD,77,0.1901,0,164.8,99.9,0,1,0,1,dev_hash_80855,user_956@okhdfcbank,"House No 8, Street 3, Bengaluru",0,0,0,0
txn_rzp_000021,mch_gadget_bazar,usr_54269,2787.97,FOOTWEAR,DEBIT_CARD,1,0.2053,0,84.8,56.6,1,1,1,2,dev_hash_61173,user_371@okhdfcbank,"House No 475, Street 15, Bengaluru",0,0,0,0
txn_rzp_000022,mch_luxe_jewels,usr_92303,3247.98,GROCERY,NETBANKING,48,0.1687,0,60.5,100.0,0,1,0,1,dev_hash_17665,user_693@okhdfcbank,"House No 377, Street 18, Bengaluru",0,0,0,0
txn_rzp_000023,mch_quick_vouchers,usr_8492,13430.73,ELECTRONICS,NETBANKING,82,0.0734,0,71.8,24.4,0,1,1,6,dev_fingerprint_ring_9,abuser_2@okicici,"Flat 103, Sector 62, Noida, UP",0,1,1,1
txn_rzp_000024,mch_gadget_bazar,usr_53923,49326.59,ELECTRONICS,NETBANKING,39,0.4117,1,177.4,86.7,1,1,0,2,dev_hash_86503,user_678@okhdfcbank,"House No 268, Street 11, Bengaluru",1,0,0,1
txn_rzp_000025,mch_quick_vouchers,usr_32285,4016.51,DIGITAL_VOUCHER,DEBIT_CARD,2,0.0948,0,25.1,96.8,1,1,0,3,dev_hash_19508,user_109@okhdfcbank,"House No 235, Street 20, Bengaluru",0,0,0,0
txn_rzp_000026,mch_fashion_hub,usr_10602,33522.98,JEWELRY,UPI_COLLECT,33,0.0928,0,68.7,84.9,0,1,0,2,dev_hash_42018,user_478@okhdfcbank,"House No 146, Street 6, Bengaluru",0,0,0,0
txn_rzp_000027,mch_hyper_grocery,usr_93214,9905.51,DIGITAL_VOUCHER,NETBANKING,27,0.2585,0,32.1,94.3,0,1,0,1,dev_hash_82692,user_406@okhdfcbank,"House No 478, Street 4, Bengaluru",0,0,0,0
txn_rzp_000028,mch_quick_vouchers,usr_16129,77910.21,ELECTRONICS,COD,363,0.064,0,87.2,100.0,0,1,0,3,dev_hash_36685,user_803@okhdfcbank,"House No 325, Street 9, Bengaluru",0,0,0,0
txn_rzp_000029,mch_luxe_jewels,usr_33914,76621.34,ELECTRONICS,UPI_INTENT,397,0.0689,0,45.1,45.8,0,1,1,3,dev_hash_27146,user_752@okhdfcbank,"House No 135, Street 6, Bengaluru",0,1,0,1
txn_rzp_000030,mch_luxe_jewels,usr_74519,58174.99,ELECTRONICS,UPI_INTENT,5,0.1989,0,105.8,97.6,1,1,0,2,dev_hash_58393,user_696@okhdfcbank,"House No 283, Street 5, Bengaluru",0,0,0,0
txn_rzp_000031,mch_gadget_bazar,usr_6482,2550.3,DIGITAL_VOUCHER,CREDIT_CARD,175,0.3043,2,52.3,96.9,0,1,0,2,dev_hash_37535,user_798@okhdfcbank,"House No 128, Street 4, Bengaluru",0,1,0,1
txn_rzp_000032,mch_luxe_jewels,usr_82351,1328.12,GROCERY,UPI_COLLECT,104,0.0626,0,12.2,93.6,0,1,0,3,dev_hash_33206,user_522@okhdfcbank,"House No 13, Street 6, Bengaluru",0,0,0,0
txn_rzp_000033,mch_quick_vouchers,usr_54964,1238.56,GROCERY,COD,143,0.1765,0,58.2,54.1,0,1,0,1,dev_hash_15075,user_979@okhdfcbank,"House No 241, Street 8, Bengaluru",0,0,0,0
txn_rzp_000034,mch_luxe_jewels,usr_46830,2853.44,DIGITAL_VOUCHER,UPI_COLLECT,79,0.3346,0,48.7,91.9,1,1,0,3,dev_hash_19099,user_891@okhdfcbank,"House No 143, Street 12, Bengaluru",0,0,0,0
txn_rzp_000035,mch_hyper_grocery,usr_53386,2209.6,GROCERY,NETBANKING,34,0.0142,0,33.8,79.1,1,1,0,3,dev_hash_86099,user_371@okhdfcbank,"House No 20, Street 4, Bengaluru",0,0,0,0
txn_rzp_000036,mch_luxe_jewels,usr_46309,3875.73,GROCERY,CREDIT_CARD,193,0.421,0,202.8,67.2,0,0,0,1,dev_hash_34914,user_360@okhdfcbank,"House No 23, Street 14, Bengaluru",0,0,0,0
txn_rzp_000037,mch_hyper_grocery,usr_71575,2653.31,GROCERY,COD,88,0.0394,0,233.9,69.2,0,1,0,3,dev_hash_97062,user_438@okhdfcbank,"House No 320, Street 11, Bengaluru",0,0,0,0
txn_rzp_000038,mch_fashion_hub,usr_95339,3530.27,DIGITAL_VOUCHER,NETBANKING,335,0.1861,0,71.4,93.3,1,1,0,3,dev_hash_26683,user_296@okhdfcbank,"House No 216, Street 13, Bengaluru",0,0,0,0
txn_rzp_000039,mch_gadget_bazar,usr_81676,83972.48,JEWELRY,CREDIT_CARD,239,0.0556,0,335.3,45.8,0,1,0,2,dev_hash_86019,user_721@okhdfcbank,"House No 336, Street 11, Bengaluru",0,0,0,0
txn_rzp_000040,mch_luxe_jewels,usr_58954,3527.4,GROCERY,UPI_COLLECT,75,0.0384,0,7.8,97.8,0,1,0,3,dev_hash_96356,user_186@okhdfcbank,"House No 146, Street 17, Bengaluru",0,0,0,0
txn_rzp_000041,mch_hyper_grocery,usr_44933,86229.76,ELECTRONICS,UPI_COLLECT,126,0.0609,0,169.8,33.8,0,1,1,12,dev_fingerprint_ring_4,abuser_8@okicici,"Flat 102, Sector 62, Noida, UP",0,1,1,1
txn_rzp_000042,mch_hyper_grocery,usr_26485,4285.14,GROCERY,COD,153,0.1439,0,100.5,70.0,0,1,0,1,dev_hash_23970,user_897@okhdfcbank,"House No 218, Street 8, Bengaluru",0,0,0,0
txn_rzp_000043,mch_hyper_grocery,usr_61889,76242.11,ELECTRONICS,NETBANKING,280,0.1749,0,157.4,63.1,1,1,0,2,dev_hash_97500,user_643@okhdfcbank,"House No 287, Street 20, Bengaluru",0,0,0,0
txn_rzp_000044,mch_luxe_jewels,usr_81301,772.01,GROCERY,NETBANKING,258,0.1155,0,6.1,81.7,0,1,0,3,dev_hash_72216,user_560@okhdfcbank,"House No 133, Street 8, Bengaluru",0,0,0,0
txn_rzp_000045,mch_quick_vouchers,usr_69327,519.04,FOOTWEAR,COD,776,0.043,2,100.8,65.1,1,1,0,1,dev_hash_54020,user_427@okhdfcbank,"House No 458, Street 18, Bengaluru",0,1,0,1
txn_rzp_000046,mch_gadget_bazar,usr_51205,3530.59,GROCERY,UPI_COLLECT,147,0.1218,0,9.1,77.9,0,1,0,2,dev_hash_64496,user_163@okhdfcbank,"House No 106, Street 14, Bengaluru",0,0,0,0
txn_rzp_000047,mch_hyper_grocery,usr_92163,15577.36,ELECTRONICS,NETBANKING,188,0.1251,0,146.1,82.0,0,1,0,3,dev_hash_64921,user_651@okhdfcbank,"House No 383, Street 18, Bengaluru",0,0,0,0
txn_rzp_000048,mch_gadget_bazar,usr_64993,4435.29,LUXURY_FASHION,CREDIT_CARD,145,0.0693,0,71.1,85.3,0,1,0,1,dev_hash_62994,user_841@okhdfcbank,"House No 85, Street 15, Bengaluru",0,0,0,0
txn_rzp_000049,mch_hyper_grocery,usr_71008,57588.29,ELECTRONICS,DEBIT_CARD,416,0.4933,0,31.4,64.3,0,1,0,2,dev_hash_70515,user_286@okhdfcbank,"House No 26, Street 9, Bengaluru",0,0,0,0
txn_rzp_000050,mch_quick_vouchers,usr_28742,4388.62,FOOTWEAR,CREDIT_CARD,771,0.2766,0,12.8,84.5,1,1,0,2,dev_hash_65255,user_358@okhdfcbank,"House No 428, Street 3, Bengaluru",0,0,0,0
txn_rzp_000051,mch_fashion_hub,usr_99176,86983.45,JEWELRY,UPI_INTENT,311,0.0171,0,1.9,99.2,0,1,0,1,dev_hash_95426,user_141@okhdfcbank,"House No 387, Street 1, Bengaluru",0,0,0,0
txn_rzp_000052,mch_gadget_bazar,usr_3671,93854.85,JEWELRY,UPI_COLLECT,29,0.0778,0,45.5,76.4,1,1,0,1,dev_hash_70952,user_816@okhdfcbank,"House No 132, Street 12, Bengaluru",0,0,0,0
txn_rzp_000053,mch_hyper_grocery,usr_80593,1954.46,GROCERY,COD,57,0.1307,0,20.5,58.8,1,1,0,2,dev_hash_13365,user_419@okhdfcbank,"House No 295, Street 13, Bengaluru",0,0,0,0
txn_rzp_000054,mch_gadget_bazar,usr_10961,90864.59,JEWELRY,COD,167,0.0849,0,80.2,100.0,0,1,0,3,dev_hash_99687,user_714@okhdfcbank,"House No 413, Street 4, Bengaluru",0,0,0,0
txn_rzp_000055,mch_fashion_hub,usr_46508,51827.69,JEWELRY,DEBIT_CARD,266,0.2737,0,37.2,27.6,0,1,1,6,dev_fingerprint_ring_7,abuser_14@okicici,"Flat 108, Sector 62, Noida, UP",0,1,1,1
txn_rzp_000056,mch_quick_vouchers,usr_84307,1076.39,FOOTWEAR,COD,26,0.2341,0,168.8,46.3,1,1,0,2,dev_hash_90728,user_927@okhdfcbank,"House No 471, Street 18, Bengaluru",0,0,0,0
txn_rzp_000057,mch_luxe_jewels,usr_58091,1664.91,GROCERY,NETBANKING,129,0.0564,1,11.5,77.7,1,1,0,3,dev_hash_69087,user_349@okhdfcbank,"House No 385, Street 15, Bengaluru",0,0,0,0
txn_rzp_000058,mch_hyper_grocery,usr_88580,1273.36,FOOTWEAR,CREDIT_CARD,110,0.4098,0,5.7,76.4,1,1,0,3,dev_hash_43862,user_448@okhdfcbank,"House No 144, Street 20, Bengaluru",0,0,0,0
txn_rzp_000059,mch_quick_vouchers,usr_73848,16599.17,ELECTRONICS,NETBANKING,24,0.0356,0,79.3,70.0,0,1,0,2,dev_hash_41499,user_807@okhdfcbank,"House No 244, Street 16, Bengaluru",0,0,0,0
txn_rzp_000060,mch_fashion_hub,usr_13196,888.25,DIGITAL_VOUCHER,UPI_COLLECT,33,0.0895,0,50.4,59.4,0,1,0,3,dev_hash_82544,user_643@okhdfcbank,"House No 177, Street 14, Bengaluru",0,0,0,0
txn_rzp_000061,mch_hyper_grocery,usr_44357,7058.75,DIGITAL_VOUCHER,COD,7,0.1362,1,4.5,93.3,0,1,0,3,dev_hash_51359,user_222@okhdfcbank,"House No 381, Street 18, Bengaluru",0,0,0,0
txn_rzp_000062,mch_gadget_bazar,usr_26105,26692.57,LUXURY_FASHION,COD,36,0.0817,0,44.7,36.6,0,1,0,2,dev_hash_47093,user_202@okhdfcbank,"House No 427, Street 7, Bengaluru",1,0,0,1
txn_rzp_000063,mch_gadget_bazar,usr_40618,72272.38,ELECTRONICS,COD,6,0.3094,0,8.2,100.0,0,1,0,1,dev_hash_26551,user_753@okhdfcbank,"House No 445, Street 16, Bengaluru",0,0,0,0
txn_rzp_000064,mch_hyper_grocery,usr_38268,1204.75,FOOTWEAR,DEBIT_CARD,56,0.0027,0,64.8,58.5,0,1,1,2,dev_hash_72616,user_216@okhdfcbank,"House No 421, Street 3, Bengaluru",0,0,0,0
txn_rzp_000065,mch_luxe_jewels,usr_10710,66119.21,JEWELRY,COD,280,0.056,0,40.7,71.0,0,1,0,2,dev_hash_21164,user_354@okhdfcbank,"House No 61, Street 18, Bengaluru",0,0,0,0
txn_rzp_000066,mch_hyper_grocery,usr_79135,37677.41,JEWELRY,UPI_COLLECT,186,0.1168,0,20.3,88.1,0,1,0,3,dev_hash_87139,user_539@okhdfcbank,"House No 157, Street 19, Bengaluru",0,0,0,0
txn_rzp_000067,mch_fashion_hub,usr_80905,848.96,GROCERY,UPI_INTENT,37,0.0714,0,38.0,85.0,0,1,0,1,dev_hash_30585,user_345@okhdfcbank,"House No 89, Street 18, Bengaluru",0,0,0,0
txn_rzp_000068,mch_gadget_bazar,usr_1350,3914.96,FOOTWEAR,DEBIT_CARD,305,0.1055,0,61.0,60.4,0,1,1,1,dev_hash_47056,user_819@okhdfcbank,"House No 441, Street 15, Bengaluru",0,0,0,0
txn_rzp_000069,mch_gadget_bazar,usr_35675,1367.91,GROCERY,NETBANKING,264,0.1119,0,8.8,50.6,0,1,0,1,dev_hash_94886,user_252@okhdfcbank,"House No 466, Street 9, Bengaluru",0,0,0,0
txn_rzp_000070,mch_fashion_hub,usr_8816,21180.86,LUXURY_FASHION,CREDIT_CARD,30,0.2734,0,4.7,78.9,0,1,0,2,dev_hash_71433,user_805@okhdfcbank,"House No 156, Street 13, Bengaluru",1,0,0,1
txn_rzp_000071,mch_luxe_jewels,usr_58377,94096.42,ELECTRONICS,NETBANKING,70,0.0594,0,45.9,46.1,1,1,0,3,dev_hash_21970,user_334@okhdfcbank,"House No 493, Street 19, Bengaluru",0,0,0,0
txn_rzp_000072,mch_fashion_hub,usr_89117,9330.53,DIGITAL_VOUCHER,NETBANKING,319,0.0405,0,5.0,67.1,1,1,0,3,dev_hash_46458,user_285@okhdfcbank,"House No 300, Street 14, Bengaluru",0,0,0,0
txn_rzp_000073,mch_luxe_jewels,usr_12959,3373.87,FOOTWEAR,CREDIT_CARD,153,0.1154,0,12.9,87.8,0,1,0,3,dev_hash_63955,user_810@okhdfcbank,"House No 254, Street 10, Bengaluru",0,0,0,0
txn_rzp_000074,mch_luxe_jewels,usr_73102,52075.89,ELECTRONICS,DEBIT_CARD,80,0.189,0,44.7,70.7,1,1,0,2,dev_hash_77449,user_944@okhdfcbank,"House No 1, Street 18, Bengaluru",0,0,0,0
txn_rzp_000075,mch_luxe_jewels,usr_8104,11945.47,LUXURY_FASHION,NETBANKING,247,0.0199,0,170.6,62.1,0,1,0,2,dev_hash_36680,user_373@okhdfcbank,"House No 282, Street 5, Bengaluru",0,0,0,0
txn_rzp_000076,mch_luxe_jewels,usr_92521,4238.27,FOOTWEAR,UPI_INTENT,177,0.1483,0,161.5,70.5,1,1,0,2,dev_hash_50730,user_664@okhdfcbank,"House No 8, Street 18, Bengaluru",0,0,0,0
txn_rzp_000077,mch_fashion_hub,usr_30451,75973.75,ELECTRONICS,DEBIT_CARD,29,0.0571,0,103.5,71.7,0,1,0,2,dev_hash_48254,user_621@okhdfcbank,"House No 362, Street 9, Bengaluru",0,0,0,0
txn_rzp_000078,mch_luxe_jewels,usr_62894,29101.49,LUXURY_FASHION,DEBIT_CARD,21,0.2497,0,18.7,60.4,0,1,0,2,dev_hash_27892,user_984@okhdfcbank,"House No 36, Street 9, Bengaluru",0,0,0,0
txn_rzp_000079,mch_quick_vouchers,usr_67550,7361.4,DIGITAL_VOUCHER,UPI_INTENT,229,0.239,0,14.4,81.1,1,1,0,3,dev_hash_74178,user_986@okhdfcbank,"House No 77, Street 15, Bengaluru",0,0,0,0
txn_rzp_000080,mch_luxe_jewels,usr_46236,4308.09,DIGITAL_VOUCHER,NETBANKING,111,0.2152,0,1.3,57.7,0,1,0,2,dev_hash_41300,user_685@okhdfcbank,"House No 197, Street 8, Bengaluru",0,0,0,0
txn_rzp_000081,mch_fashion_hub,usr_42704,3943.74,GROCERY,DEBIT_CARD,484,0.3156,0,61.8,53.9,0,1,0,1,dev_hash_95461,user_255@okhdfcbank,"House No 254, Street 2, Bengaluru",0,0,0,0
txn_rzp_000082,mch_hyper_grocery,usr_78356,7496.22,DIGITAL_VOUCHER,UPI_INTENT,490,0.4686,0,9.6,75.7,0,1,0,1,dev_hash_28894,user_519@okhdfcbank,"House No 446, Street 5, Bengaluru",0,0,0,0
txn_rzp_000083,mch_luxe_jewels,usr_35737,9248.0,DIGITAL_VOUCHER,NETBANKING,367,0.4181,0,116.9,93.3,0,1,0,3,dev_hash_79942,user_489@okhdfcbank,"House No 489, Street 11, Bengaluru",0,0,0,0
txn_rzp_000084,mch_luxe_jewels,usr_71912,87787.01,ELECTRONICS,NETBANKING,76,0.0039,0,10.9,100.0,1,1,0,2,dev_hash_21846,user_544@okhdfcbank,"House No 51, Street 4, Bengaluru",1,0,0,1
txn_rzp_000085,mch_quick_vouchers,usr_4794,20874.83,ELECTRONICS,CREDIT_CARD,124,0.2386,0,0.9,59.7,0,1,0,1,dev_hash_79621,user_521@okhdfcbank,"House No 290, Street 6, Bengaluru",0,0,0,0
txn_rzp_000086,mch_gadget_bazar,usr_11350,91496.33,JEWELRY,DEBIT_CARD,28,0.0955,0,17.0,79.1,0,1,0,2,dev_hash_70443,user_753@okhdfcbank,"House No 131, Street 15, Bengaluru",0,0,0,0
txn_rzp_000087,mch_fashion_hub,usr_61981,9031.52,DIGITAL_VOUCHER,COD,41,0.574,0,53.5,40.6,0,1,0,3,dev_hash_49210,user_754@okhdfcbank,"House No 493, Street 14, Bengaluru",0,0,0,0
txn_rzp_000088,mch_quick_vouchers,usr_60878,5816.58,DIGITAL_VOUCHER,UPI_COLLECT,30,0.0588,0,1.9,64.0,0,1,0,1,dev_hash_57049,user_688@okhdfcbank,"House No 152, Street 10, Bengaluru",0,0,0,0
txn_rzp_000089,mch_luxe_jewels,usr_36976,19053.73,ELECTRONICS,NETBANKING,226,0.1216,0,1.4,79.8,0,1,0,1,dev_hash_75107,user_952@okhdfcbank,"House No 463, Street 10, Bengaluru",0,0,0,0
txn_rzp_000090,mch_hyper_grocery,usr_47179,7891.97,LUXURY_FASHION,COD,190,0.1281,0,127.7,71.3,1,1,0,3,dev_hash_99241,user_958@okhdfcbank,"House No 71, Street 4, Bengaluru",1,0,0,1
txn_rzp_000091,mch_quick_vouchers,usr_58779,40746.52,ELECTRONICS,NETBANKING,198,0.0994,0,16.8,47.9,0,1,0,3,dev_hash_64460,user_279@okhdfcbank,"House No 103, Street 5, Bengaluru",0,0,0,0
txn_rzp_000092,mch_quick_vouchers,usr_70579,85340.45,JEWELRY,CREDIT_CARD,306,0.4225,0,70.5,52.6,0,1,0,1,dev_hash_48684,user_864@okhdfcbank,"House No 446, Street 11, Bengaluru",0,0,0,0
txn_rzp_000093,mch_luxe_jewels,usr_10869,15510.58,LUXURY_FASHION,UPI_COLLECT,144,0.0591,0,1.6,77.4,0,1,0,1,dev_hash_83048,user_474@okhdfcbank,"House No 47, Street 13, Bengaluru",0,0,0,0
txn_rzp_000094,mch_quick_vouchers,usr_71329,29180.96,ELECTRONICS,DEBIT_CARD,140,0.0229,2,53.7,68.3,0,1,0,2,dev_hash_93695,user_480@okhdfcbank,"House No 56, Street 8, Bengaluru",0,1,0,1
txn_rzp_000095,mch_hyper_grocery,usr_43992,6655.16,JEWELRY,UPI_COLLECT,442,0.1139,0,127.5,87.9,0,1,0,1,dev_hash_95097,user_518@okhdfcbank,"House No 60, Street 5, Bengaluru",0,0,0,0
txn_rzp_000096,mch_fashion_hub,usr_40893,1047.93,FOOTWEAR,UPI_INTENT,1,0.1203,0,177.0,44.9,1,1,0,2,dev_hash_97881,user_860@okhdfcbank,"House No 357, Street 18, Bengaluru",0,0,0,0
txn_rzp_000097,mch_hyper_grocery,usr_98290,2407.29,GROCERY,UPI_COLLECT,8,0.0369,0,35.5,81.6,0,1,0,1,dev_hash_46666,user_133@okhdfcbank,"House No 354, Street 12, Bengaluru",0,0,0,0
txn_rzp_000098,mch_luxe_jewels,usr_59287,11526.89,LUXURY_FASHION,CREDIT_CARD,79,0.035,0,198.9,62.5,1,1,0,1,dev_hash_57012,user_162@okhdfcbank,"House No 204, Street 9, Bengaluru",0,0,0,0
txn_rzp_000099,mch_fashion_hub,usr_60600,7806.48,ELECTRONICS,COD,54,0.2152,0,106.1,12.7,1,1,1,17,dev_fingerprint_ring_6,abuser_4@okicici,"Flat 103, Sector 62, Noida, UP",1,1,1,1
txn_rzp_000100,mch_hyper_grocery,usr_28152,11762.4,JEWELRY,UPI_COLLECT,234,0.3923,0,115.7,58.4,0,1,0,1,dev_hash_88116,user_102@okhdfcbank,"House No 142, Street 5, Bengaluru",0,0,0,0
txn_rzp_000101,mch_hyper_grocery,usr_33853,21477.61,LUXURY_FASHION,UPI_INTENT,80,0.2499,0,148.5,89.2,0,1,1,1,dev_hash_41186,user_702@okhdfcbank,"House No 166, Street 1, Bengaluru",0,0,0,0
txn_rzp_000102,mch_quick_vouchers,usr_7868,26163.42,LUXURY_FASHION,COD,295,0.2243,0,18.0,92.7,0,1,1,2,dev_hash_57453,user_625@okhdfcbank,"House No 304, Street 4, Bengaluru",0,0,0,0
txn_rzp_000103,mch_hyper_grocery,usr_30038,8055.14,JEWELRY,UPI_INTENT,215,0.1484,0,27.7,90.3,0,1,0,2,dev_hash_94323,user_131@okhdfcbank,"House No 32, Street 16, Bengaluru",0,0,0,0
txn_rzp_000104,mch_luxe_jewels,usr_90928,79602.39,ELECTRONICS,DEBIT_CARD,6,0.0227,0,29.9,73.3,0,1,0,3,dev_hash_29442,user_167@okhdfcbank,"House No 65, Street 9, Bengaluru",0,0,0,0
txn_rzp_000105,mch_hyper_grocery,usr_72874,1521.51,GROCERY,CREDIT_CARD,139,0.108,0,19.1,51.3,0,1,0,3,dev_hash_66387,user_201@okhdfcbank,"House No 407, Street 4, Bengaluru",0,0,0,0
txn_rzp_000106,mch_hyper_grocery,usr_95481,2805.23,LUXURY_FASHION,DEBIT_CARD,367,0.2137,0,104.9,68.8,0,1,0,2,dev_hash_64524,user_847@okhdfcbank,"House No 49, Street 11, Bengaluru",0,0,0,0
txn_rzp_000107,mch_quick_vouchers,usr_88177,6461.3,DIGITAL_VOUCHER,CREDIT_CARD,372,0.0568,0,8.4,53.8,0,1,0,3,dev_hash_21188,user_195@okhdfcbank,"House No 222, Street 4, Bengaluru",0,0,0,0
txn_rzp_000108,mch_quick_vouchers,usr_18054,31667.73,JEWELRY,UPI_INTENT,47,0.1103,0,215.6,56.3,0,1,0,3,dev_hash_56346,user_994@okhdfcbank,"House No 341, Street 14, Bengaluru",0,0,0,0
txn_rzp_000109,mch_fashion_hub,usr_38700,75771.05,JEWELRY,CREDIT_CARD,16,0.2672,0,13.2,81.0,0,1,0,3,dev_hash_39392,user_967@okhdfcbank,"House No 56, Street 12, Bengaluru",0,0,0,0
txn_rzp_000110,mch_quick_vouchers,usr_16058,6273.5,DIGITAL_VOUCHER,NETBANKING,129,0.2201,0,31.0,67.2,1,1,0,1,dev_hash_91490,user_728@okhdfcbank,"House No 346, Street 18, Bengaluru",0,0,0,0
txn_rzp_000111,mch_hyper_grocery,usr_87223,401.62,GROCERY,CREDIT_CARD,625,0.3592,0,18.3,81.7,1,1,0,3,dev_hash_56009,user_106@okhdfcbank,"House No 93, Street 5, Bengaluru",0,0,0,0
txn_rzp_000112,mch_luxe_jewels,usr_10120,21567.02,LUXURY_FASHION,COD,156,0.0256,0,224.3,88.5,0,1,0,2,dev_hash_65028,user_564@okhdfcbank,"House No 175, Street 6, Bengaluru",0,0,0,0
txn_rzp_000113,mch_quick_vouchers,usr_95581,8690.21,DIGITAL_VOUCHER,NETBANKING,298,0.1215,0,21.7,77.4,0,1,0,2,dev_hash_16522,user_790@okhdfcbank,"House No 42, Street 9, Bengaluru",0,0,0,0
