transaction_id,merchant_id,user_id,amount,category,payment_method,account_age_days,historical_return_rate,past_chargebacks,address_changed_hours,device_trust_score,promo_code_used,ip_country_match,is_vpn_or_proxy,same_device_account_count,velocity_1h_count,login_to_checkout_minutes,is_disposable_email,card_bin_country_match,upi_collect_prompted,delivery_dropzone_risk,is_otp_forwarding_active,remote_screen_share_active,vishing_call_in_progress,referred_from_phishing_link,sideloaded_apk_detected,domain_reputation_score,is_first_transfer_to_unknown_vpa,high_lottery_keyword_score,unusual_savings_drain_ratio,device_hash,vpa,delivery_address,scam_type,is_fraud
txn_rzp_000011,mch_fashion_hub,usr_15662,3436.19,GROCERY,IMPS_NEFT,4,0.020617354286183692,0,35.2,67.4679473226202,0,1,0,1,1,116.4,1,1,0,0.9,0,0,0,0,0,90.8,0,12.3,0.12,dev_hash_79822,user_884@okhdfcbank,"House No 65, Bengaluru",SYNTHETIC_IDENTITY,1
txn_rzp_000012,mch_hyper_grocery,usr_22643,29041.15,JEWELRY,NETBANKING,19,0.017161689888477848,0,157.0,89.88225352817832,0,1,0,1,3,4.0,0,0,0,0.02,0,0,0,0,0,89.6,0,0.1,0.04,dev_hash_95180,user_482@okhdfcbank,"House No 225, Bengaluru",CLEAN,0
txn_rzp_000013,mch_luxe_jewels,usr_16860,47062.95,FOOTWEAR,UPI_COLLECT,1,0.2227206491931579,2,89.7,67.98112920537714,1,0,1,1,1,61.8,0,1,1,0.29,0,0,0,0,0,90.8,0,8.5,0.04,dev_hash_40007,user_169@okhdfcbank,"House No 464, Bengaluru",CHARGEBACK_FRAUD,1
txn_rzp_000014,mch_fashion_hub,usr_68391,1436.23,FOOTWEAR,CREDIT_CARD,55,0.11147888254134657,0,50.3,75.7654906681927,0,1,0,2,1,9.8,0,1,0,0.09,0,0,0,0,0,75.6,0,9.7,0.05,dev_hash_34957,user_196@okhdfcbank,"House No 50, Bengaluru",CLEAN,0
txn_rzp_000015,p2p_lottery_claim,usr_56519,101875.9,INVESTMENT_FEE,DEBIT_CARD,615,0.08750568720464165,0,244.9,66.45130051090553,0,1,0,1,1,85.7,0,1,0,0.15,0,0,0,0,0,88.4,1,88.7,0.73,dev_hash_24322,user_354@okhdfcbank,"House No 99, Bengaluru",LOTTERY_REWARD_SCAM,1
txn_rzp_000016,mch_luxe_jewels,usr_19373,148557.81,P2P_TRANSFER,UPI_COLLECT,30,0.2584613955469806,0,32.1,94.48195135930494,1,1,0,2,3,74.8,0,1,1,0.37,0,0,0,0,0,87.3,0,7.5,0.16,dev_hash_80855,user_956@okhdfcbank,"House No 8, Bengaluru",CLEAN,0
txn_rzp_000017,unknown_vpa_merchant,usr_31982,9924.48,DIGITAL_VOUCHER,DEBIT_CARD,242,0.14956847452899466,0,62.2,79.3658217273661,0,1,0,1,1,35.2,0,0,0,0.09,0,0,0,0,0,75.7,0,0.6,0.17,dev_hash_44760,user_902@okhdfcbank,"House No 402, Bengaluru",CLEAN,0
txn_rzp_000018,mch_luxe_jewels,usr_92303,57227.64,INVESTMENT_FEE,UPI_COLLECT,27,0.3209195920404159,0,3.8,100.0,1,1,1,1,3,45.7,0,1,1,0.12,0,0,0,0,0,87.4,0,4.8,0.16,dev_hash_72493,user_614@okhdfcbank,"House No 471, Bengaluru",CLEAN,0
txn_rzp_000019,mch_gadget_bazar,usr_8455,39863.86,LUXURY_FASHION,IMPS_NEFT,115,0.03747602706992167,1,57.4,95.12610704140107,1,0,1,1,2,14.8,0,1,0,0.28,0,0,0,0,0,88.3,0,9.2,0.1,dev_hash_42271,user_692@okhdfcbank,"House No 305, Bengaluru",CHARGEBACK_FRAUD,1
txn_rzp_000020,mch_luxe_jewels,usr_87163,1876.47,GROCERY,UPI_COLLECT,283,0.14615017462225977,0,46.2,75.95890957770943,1,1,0,2,1,22.9,0,1,1,0.28,0,0,0,0,0,76.1,0,5.6,0.13,dev_hash_51441,bank_verification_569@paytm,"House No 480, Bengaluru",UPI_COLLECT_SPOOF,1
txn_rzp_000021,mch_hyper_grocery,usr_74792,24131.72,LUXURY_FASHION,UPI_INTENT,388,0.0419819691761683,0,63.5,81.81627752401997,0,1,0,2,1,22.1,0,1,0,0.14,0,0,0,0,0,88.1,0,14.1,0.09,dev_hash_30676,user_548@okhdfcbank,"House No 427, Bengaluru",CLEAN,0
txn_rzp_000022,mch_quick_vouchers,usr_81173,91623.58,ELECTRONICS,COD,471,0.19789834718493698,0,1.7,70.57016388889261,0,1,0,1,2,5.7,0,1,0,0.15,0,0,0,0,0,96.1,0,11.0,0.16,dev_hash_82512,user_259@okhdfcbank,"House No 140, Bengaluru",CLEAN,0
txn_rzp_000023,mch_gadget_bazar,usr_95058,1517.87,GROCERY,UPI_COLLECT,39,0.18650308569829652,0,107.9,88.7535580987206,0,1,0,2,1,88.0,0,1,1,0.12,0,0,0,0,0,93.1,0,1.5,0.18,dev_hash_46265,user_145@okhdfcbank,"House No 2, Bengaluru",CLEAN,0
txn_rzp_000024,mch_gadget_bazar,usr_84507,51956.96,JEWELRY,UPI_COLLECT,350,0.2322695545170532,0,6.9,85.18666163981507,0,1,0,1,1,135.4,0,1,1,0.16,0,0,0,0,0,85.8,0,4.4,0.08,dev_hash_29536,user_658@okhdfcbank,"House No 19, Bengaluru",CLEAN,0
txn_rzp_000025,mch_hyper_grocery,usr_73420,10251.52,DIGITAL_VOUCHER,DEBIT_CARD,279,0.17178013963384736,0,57.4,95.60191573468401,1,1,0,1,2,19.4,0,1,0,0.03,0,0,0,0,0,93.3,0,9.3,0.04,dev_hash_23473,user_462@okhdfcbank,"House No 400, Bengaluru",CLEAN,0
txn_rzp_000026,unknown_vpa_merchant,usr_54264,1719.55,DIGITAL_VOUCHER,UPI_COLLECT,241,0.08042156130718581,0,33.3,68.50489245996103,0,0,0,2,1,67.6,0,1,1,0.16,0,0,0,0,0,96.8,0,1.7,0.11,dev_hash_63964,user_921@okhdfcbank,"House No 343, Bengaluru",CLEAN,0
txn_rzp_000027,unknown_vpa_merchant,usr_33527,8987.77,JEWELRY,UPI_COLLECT,126,0.21700502962021803,1,33.8,91.0423038673778,0,1,0,2,1,11.4,0,1,1,0.46,0,0,0,0,0,98.3,0,0.6,0.18,dev_hash_55830,user_412@okhdfcbank,"House No 421, Bengaluru",CLEAN,0
txn_rzp_000028,mch_gadget_bazar,usr_30219,52339.41,ELECTRONICS,COD,991,0.1823357833630462,2,85.7,100.0,1,0,1,2,2,39.5,0,1,0,0.42,0,0,0,0,0,81.7,0,14.3,0.18,dev_hash_80282,user_439@okhdfcbank,"House No 481, Bengaluru",CHARGEBACK_FRAUD,1
txn_rzp_000029,mch_gadget_bazar,usr_77099,61951.54,JEWELRY,UPI_INTENT,64,0.18269863950393683,0,263.9,49.396695726972496,1,1,0,2,2,75.6,0,1,0,0.17,0,0,0,0,0,96.9,0,12.3,0.19,dev_hash_60488,user_690@okhdfcbank,"House No 98, Bengaluru",CLEAN,0
txn_rzp_000030,p2p_lottery_claim,usr_58154,71137.6,ELECTRONICS,NETBANKING,190,0.22311248997708627,0,34.0,84.72764039077093,0,1,0,1,2,21.6,0,1,0,0.57,0,0,0,0,0,95.1,0,7.0,0.09,dev_hash_53279,user_738@okhdfcbank,"House No 161, Bengaluru",CLEAN,0
txn_rzp_000031,mch_fashion_hub,usr_95339,31786.42,JEWELRY,NETBANKING,11,0.14691985266547075,0,105.5,74.99162066853695,0,1,0,2,3,6.2,0,1,0,0.61,0,0,0,0,0,80.5,0,10.1,0.13,dev_hash_59695,user_793@okhdfcbank,"House No 384, Bengaluru",CLEAN,0
txn_rzp_000032,mch_hyper_grocery,usr_75593,39160.16,JEWELRY,DEBIT_CARD,24,0.08888443575667648,0,57.8,96.42527754483325,0,1,0,2,3,23.2,0,1,0,0.03,0,0,0,0,0,93.1,0,9.3,0.15,dev_hash_67905,user_552@okhdfcbank,"House No 346, Bengaluru",CLEAN,0
txn_rzp_000033,mch_luxe_jewels,usr_97463,3587.98,DIGITAL_VOUCHER,COD,29,0.009420495124295956,0,51.9,72.21256806331601,1,1,0,2,1,43.8,0,1,0,0.2,0,0,0,0,0,78.5,0,13.9,0.11,dev_hash_98184,user_417@okhdfcbank,"House No 116, Bengaluru",CLEAN,0
txn_rzp_000034,mch_gadget_bazar,usr_4201,30467.26,ELECTRONICS,UPI_COLLECT,122,0.11602293882513064,0,5.7,62.37996952244621,0,1,0,2,2,19.1,0,1,1,0.28,0,0,0,0,0,91.0,0,2.6,0.05,dev_hash_60328,user_606@okhdfcbank,"House No 205, Bengaluru",CLEAN,0
txn_rzp_000035,p2p_lottery_claim,usr_91128,11555.57,ELECTRONICS,IMPS_NEFT,37,0.07286790466037187,0,16.6,80.91958404838874,0,1,0,1,1,52.8,0,1,0,0.03,0,0,0,0,0,90.1,0,1.2,0.18,dev_hash_70889,user_151@okhdfcbank,"House No 286, Bengaluru",CLEAN,0
txn_rzp_000036,unknown_vpa_merchant,usr_16906,138526.5,INVESTMENT_FEE,UPI_COLLECT,12,0.27887723069989634,0,33.3,100.0,0,1,0,2,2,20.7,0,1,1,0.13,0,0,0,0,0,75.9,0,3.8,0.15,dev_hash_76162,user_536@okhdfcbank,"House No 426, Bengaluru",CLEAN,0
txn_rzp_000037,mch_luxe_jewels,usr_21861,134804.99,INVESTMENT_FEE,DEBIT_CARD,143,0.04826713291169473,0,22.6,77.00951803903345,1,1,0,2,3,17.5,0,1,0,0.05,0,0,0,0,0,77.9,0,13.4,0.13,dev_hash_47450,user_340@okhdfcbank,"House No 140, Bengaluru",CLEAN,0
txn_rzp_000038,mch_hyper_grocery,usr_11561,10346.98,DIGITAL_VOUCHER,UPI_COLLECT,311,0.05601457026269779,0,40.7,73.79089296324138,1,1,0,1,2,20.3,0,1,1,0.24,0,0,0,0,0,83.5,0,14.8,0.13,dev_hash_64496,user_163@okhdfcbank,"House No 106, Bengaluru",CLEAN,0
txn_rzp_000039,mch_luxe_jewels,usr_77556,28638.73,ELECTRONICS,IMPS_NEFT,21,0.10861679794149014,0,13.7,39.955847653404554,0,1,0,2,2,181.7,0,1,0,0.02,0,0,0,0,0,98.3,0,13.0,0.17,dev_hash_64921,user_651@okhdfcbank,"House No 383, Bengaluru",CLEAN,0
txn_rzp_000040,unknown_vpa_merchant,usr_80069,1400.83,FOOTWEAR,DEBIT_CARD,37,0.181884018749395,0,105.7,70.96708794768679,1,1,1,2,3,24.9,0,1,0,0.2,0,0,0,0,0,77.8,0,9.2,0.07,dev_hash_31632,user_960@okhdfcbank,"House No 240, Bengaluru",CLEAN,0
txn_rzp_000041,mch_hyper_grocery,usr_71008,58567.73,ELECTRONICS,DEBIT_CARD,33,0.651203543935785,0,4.7,70.36850113765784,0,1,0,2,1,51.5,0,1,0,0.18,0,0,0,0,0,86.3,0,6.2,0.08,dev_hash_44099,user_488@okhdfcbank,"House No 168, Bengaluru",CLEAN,0
txn_rzp_000042,mch_quick_vouchers,usr_45236,139781.73,P2P_TRANSFER,UPI_COLLECT,355,0.14657975513192073,0,61.5,78.08238529015041,0,1,0,1,2,71.4,1,1,1,0.04,0,0,0,0,0,78.9,0,12.2,0.14,dev_hash_55870,bank_verification_767@paytm,"House No 333, Bengaluru",UPI_COLLECT_SPOOF,1
txn_rzp_000043,mch_fashion_hub,usr_99858,53506.69,ELECTRONICS,UPI_COLLECT,88,0.0781303292106276,0,44.7,96.82548865074666,1,1,0,1,2,31.4,0,1,1,0.08,0,0,0,0,0,84.2,0,8.2,0.18,dev_hash_38569,user_576@okhdfcbank,"House No 359, Bengaluru",CLEAN,0
txn_rzp_000044,mch_quick_vouchers,usr_22992,29218.0,LUXURY_FASHION,IMPS_NEFT,24,0.12649550325411796,0,69.7,95.45475212735344,0,0,0,1,2,69.9,0,1,0,0.03,0,0,0,0,0,81.0,0,11.2,0.03,dev_hash_59192,user_506@okhdfcbank,"House No 483, Bengaluru",CLEAN,0
txn_rzp_000045,mch_fashion_hub,usr_78607,2913.96,FOOTWEAR,UPI_COLLECT,287,0.07526413238646341,0,9.8,100.0,0,1,0,1,3,7.3,0,1,1,0.06,0,0,0,0,0,92.3,0,9.6,0.14,dev_hash_66148,bank_verification_763@paytm,"House No 190, Bengaluru",UPI_COLLECT_SPOOF,1
txn_rzp_000046,mch_quick_vouchers,usr_2658,83695.04,P2P_TRANSFER,IMPS_NEFT,58,0.05325791833414876,0,44.6,82.8884934688869,0,1,0,2,3,42.5,0,1,0,0.0,0,0,0,0,0,97.4,0,8.5,0.15,dev_hash_78386,user_766@okhdfcbank,"House No 139, Bengaluru",CLEAN,0
txn_rzp_000047,mch_hyper_grocery,usr_64372,138762.41,INVESTMENT_FEE,DEBIT_CARD,245,0.22849867174725896,0,196.1,78.55635737510065,0,1,0,1,1,5.4,0,1,0,0.39,0,0,0,0,0,78.0,0,13.8,0.18,dev_hash_70910,user_683@okhdfcbank,"House No 313, Bengaluru",CLEAN,0
txn_rzp_000048,mch_quick_vouchers,usr_4761,80231.52,INVESTMENT_FEE,IMPS_NEFT,178,0.0805452701868065,0,29.2,93.63594382448429,0,1,0,2,2,113.6,0,1,0,0.26,0,0,0,0,0,92.7,0,6.8,0.06,dev_hash_46211,user_669@okhdfcbank,"House No 6, Bengaluru",CLEAN,0
txn_rzp_000049,mch_gadget_bazar,usr_12221,2344.33,FOOTWEAR,COD,30,0.20260415142661212,0,62.6,63.72492527127375,0,1,0,2,3,146.1,0,1,0,0.03,0,0,0,0,0,77.0,0,15.0,0.11,dev_hash_12260,user_195@okhdfcbank,"House No 151, Bengaluru",CLEAN,0
txn_rzp_000050,p2p_lottery_claim,usr_32890,59798.5,JEWELRY,COD,13,0.049920985961491755,0,2.7,100.0,0,1,0,2,3,3.1,0,1,0,0.36,0,0,0,0,0,87.6,0,6.6,0.09,dev_hash_69473,user_377@okhdfcbank,"House No 157, Bengaluru",CLEAN,0
txn_rzp_000051,mch_fashion_hub,usr_95540,2864.26,FOOTWEAR,CREDIT_CARD,33,0.17766500714869546,0,74.4,74.20974446027193,1,1,0,1,1,7.6,0,1,0,0.22,0,0,0,0,0,75.7,0,3.3,0.06,dev_hash_87278,user_878@okhdfcbank,"House No 269, Bengaluru",CLEAN,0
txn_rzp_000052,mch_fashion_hub,usr_26443,66454.67,JEWELRY,UPI_COLLECT,4,0.14865018342889955,0,7.5,93.02182252997768,0,1,0,1,2,87.1,1,1,1,0.97,0,0,0,0,0,91.0,0,3.1,0.07,dev_hash_48290,user_814@okhdfcbank,"House No 484, Bengaluru",SYNTHETIC_IDENTITY,1
txn_rzp_000053,mch_fashion_hub,usr_2607,9131.17,JEWELRY,DEBIT_CARD,17,0.2487473838339197,0,30.1,68.73050095131585,0,1,0,2,2,40.2,0,1,0,0.12,0,0,0,0,0,84.8,0,8.3,0.1,dev_hash_74454,user_175@okhdfcbank,"House No 296, Bengaluru",CLEAN,0
txn_rzp_000054,mch_fashion_hub,usr_20887,4769.75,DIGITAL_VOUCHER,IMPS_NEFT,593,0.0707061729375989,0,115.8,74.1822046045783,0,1,0,1,3,14.1,0,1,0,0.15,0,0,0,0,0,81.2,0,2.1,0.17,dev_hash_91057,user_331@okhdfcbank,"House No 398, Bengaluru",CLEAN,0
txn_rzp_000055,mch_luxe_jewels,usr_59028,93642.99,JEWELRY,IMPS_NEFT,149,0.10581541681689717,0,61.9,86.53204409143154,0,1,0,1,3,47.4,0,1,0,0.49,0,0,0,0,0,75.3,0,2.1,0.18,dev_hash_37235,user_740@okhdfcbank,"House No 109, Bengaluru",CLEAN,0
txn_rzp_000056,mch_fashion_hub,usr_21585,4388.37,FOOTWEAR,UPI_COLLECT,181,0.2720670792651903,0,34.8,70.00290275686913,0,1,0,2,2,8.2,1,1,1,0.22,0,0,0,0,0,89.5,0,3.7,0.09,dev_hash_47056,user_819@okhdfcbank,"House No 441, Bengaluru",CLEAN,0
txn_rzp_000057,p2p_lottery_claim,usr_31595,33116.36,JEWELRY,IMPS_NEFT,1,0.03502644704510563,0,198.9,66.26627551710058,0,1,0,1,2,1.4,1,1,0,0.86,0,0,0,0,0,76.2,0,7.4,0.13,dev_hash_29528,user_372@okhdfcbank,"House No 424, Bengaluru",SYNTHETIC_IDENTITY,1
txn_rzp_000058,mch_gadget_bazar,usr_41319,75069.36,JEWELRY,DEBIT_CARD,22,0.16836719697667088,0,20.4,87.99580192179377,1,1,0,2,3,53.4,0,1,0,0.05,0,0,0,0,0,83.7,0,1.4,0.19,dev_hash_88385,user_140@okhdfcbank,"House No 456, Bengaluru",CLEAN,0
txn_rzp_000059,mch_quick_vouchers,usr_80129,19903.22,JEWELRY,UPI_INTENT,600,0.03329848586082469,0,118.3,100.0,1,0,0,1,3,85.1,0,1,0,0.04,0,0,0,0,0,80.3,0,14.8,0.19,dev_hash_32962,user_581@okhdfcbank,"House No 266, Bengaluru",CLEAN,0
txn_rzp_000060,mch_quick_vouchers,usr_24788,10716.89,P2P_TRANSFER,COD,244,0.22182785822533113,0,185.9,98.06511100056228,0,0,0,2,2,83.8,0,1,0,0.08,0,0,0,0,0,75.9,0,8.9,0.06,dev_hash_31079,user_437@okhdfcbank,"House No 211, Bengaluru",CLEAN,0
txn_rzp_000061,mch_quick_vouchers,usr_87846,22482.2,P2P_TRANSFER,IMPS_NEFT,16,0.02998528085215099,0,55.8,69.5906425350903,0,1,0,2,2,44.2,0,1,0,0.23,0,0,0,0,0,80.6,0,0.4,0.18,dev_hash_77449,user_944@okhdfcbank,"House No 1, Bengaluru",CLEAN,0
txn_rzp_000062,mch_hyper_grocery,usr_61552,8084.06,P2P_TRANSFER,UPI_INTENT,415,0.2137078933013296,0,104.9,71.8422787600004,1,1,0,2,1,44.4,0,1,0,0.35,0,0,0,0,0,92.7,0,3.6,0.04,dev_hash_47752,user_548@okhdfcbank,"House No 451, Bengaluru",CLEAN,0
txn_rzp_000063,mch_fashion_hub,usr_4783,1869.92,FOOTWEAR,COD,67,0.5059694401447673,0,215.6,60.68166669365801,1,1,0,1,1,69.5,0,1,0,0.01,0,0,0,0,0,86.2,0,9.2,0.05,dev_hash_70482,user_220@okhdfcbank,"House No 332, Bengaluru",CLEAN,0
txn_rzp_000064,mch_luxe_jewels,usr_94926,94231.67,JEWELRY,NETBANKING,52,0.07712271479660238,0,14.0,100.0,0,1,0,2,1,11.2,0,1,0,0.06,0,0,0,0,0,98.3,0,13.3,0.19,dev_hash_34983,user_713@okhdfcbank,"House No 261, Bengaluru",CLEAN,0
txn_rzp_000065,mch_gadget_bazar,usr_10150,94556.98,JEWELRY,IMPS_NEFT,38,0.22802301512683543,0,18.3,96.7764950161216,0,1,0,2,1,11.4,0,1,0,0.08,0,0,0,0,0,96.1,0,4.0,0.04,dev_hash_86931,user_693@okhdfcbank,"House No 338, Bengaluru",CLEAN,0
txn_rzp_000066,mch_gadget_bazar,usr_59529,133868.47,INVESTMENT_FEE,CREDIT_CARD,623,0.32083342857716196,0,37.8,97.33775446248754,0,1,0,2,1,21.0,0,1,0,0.06,0,0,0,0,0,80.3,0,10.2,0.03,dev_hash_60196,user_339@okhdfcbank,"House No 439, Bengaluru",CLEAN,0
txn_rzp_000067,mch_fashion_hub,usr_42704,128425.0,INVESTMENT_FEE,COD,1265,0.2754432424684068,0,0.7,85.49016081626998,0,1,0,1,2,1.1,0,1,0,0.26,0,0,0,0,0,95.8,0,10.6,0.17,dev_hash_87356,user_439@okhdfcbank,"House No 446, Bengaluru",ACCOUNT_TAKEOVER,1
txn_rzp_000068,mch_luxe_jewels,usr_14069,94698.65,INVESTMENT_FEE,UPI_INTENT,279,0.29669472821281195,0,122.7,66.66305620353174,0,1,0,1,1,80.3,0,0,0,0.12,0,0,0,0,0,81.2,0,9.5,0.12,dev_hash_54375,user_738@okhdfcbank,"House No 355, Bengaluru",CLEAN,0
txn_rzp_000069,mch_fashion_hub,usr_44065,118077.58,P2P_TRANSFER,CREDIT_CARD,500,0.11626124458609384,0,0.7,80.76726480452969,0,1,0,1,3,0.6,0,1,0,0.42,0,0,0,0,0,92.0,0,1.0,0.12,dev_hash_47667,user_332@okhdfcbank,"House No 383, Bengaluru",ACCOUNT_TAKEOVER,1
txn_rzp_000070,unknown_vpa_merchant,usr_84066,4921.17,LUXURY_FASHION,DEBIT_CARD,410,0.13729387944852103,0,28.2,71.58711380299269,1,1,1,2,1,30.2,0,1,0,0.29,0,0,0,0,0,98.9,0,6.4,0.1,dev_hash_29080,user_350@okhdfcbank,"House No 272, Bengaluru",CLEAN,0
txn_rzp_000071,p2p_lottery_claim,usr_24600,2872.55,DIGITAL_VOUCHER,UPI_COLLECT,316,0.29121715488269356,1,11.8,100.0,1,1,0,1,2,25.5,0,1,1,0.23,0,0,0,0,0,81.6,0,14.8,0.09,dev_hash_70443,user_753@okhdfcbank,"House No 131, Bengaluru",CLEAN,0
txn_rzp_000072,p2p_lottery_claim,usr_2231,134644.38,INVESTMENT_FEE,CREDIT_CARD,52,0.04261909349037212,0,46.1,76.32955835631437,0,1,0,2,3,155.2,0,0,0,0.04,0,0,0,0,0,95.3,0,11.4,0.13,dev_hash_42780,user_567@okhdfcbank,"House No 433, Bengaluru",CLEAN,0
txn_rzp_000073,mch_luxe_jewels,usr_64335,8512.28,LUXURY_FASHION,UPI_COLLECT,6,0.1292707527141501,0,9.6,87.86247307231196,0,1,0,2,1,52.1,0,1,1,0.11,0,0,0,0,0,89.0,0,4.0,0.16,dev_hash_45976,user_108@okhdfcbank,"House No 290, Bengaluru",CLEAN,0
txn_rzp_000074,unknown_vpa_merchant,usr_98605,35001.49,ELECTRONICS,NETBANKING,121,0.02745597308037895,0,24.8,68.98944495839564,0,1,0,1,3,53.4,0,1,0,0.41,0,0,0,0,0,98.7,0,2.1,0.11,dev_hash_34920,user_735@okhdfcbank,"House No 129, Bengaluru",CLEAN,0
txn_rzp_000075,p2p_lottery_claim,usr_87400,9463.26,DIGITAL_VOUCHER,COD,242,0.16899413409914418,0,5.9,80.60256373068701,1,1,1,2,1,22.8,0,1,0,0.01,0,0,0,0,0,79.8,0,2.5,0.04,dev_hash_21813,user_402@okhdfcbank,"House No 168, Bengaluru",CLEAN,0
txn_rzp_000076,mch_gadget_bazar,usr_27318,9728.24,DIGITAL_VOUCHER,IMPS_NEFT,245,0.12638376709327076,0,116.5,85.7268116590683,0,0,0,2,1,18.7,0,1,0,0.17,0,0,0,0,0,90.4,0,7.9,0.15,dev_hash_73156,user_925@okhdfcbank,"House No 152, Bengaluru",CLEAN,0
txn_rzp_000077,mch_quick_vouchers,usr_16095,16836.35,INVESTMENT_FEE,CREDIT_CARD,12,0.21293197226187904,0,49.6,71.53122819926048,1,0,0,2,21,36.5,0,0,0,0.21,0,0,0,0,0,91.3,0,1.1,0.03,dev_hash_11824,user_370@okhdfcbank,"House No 275, Bengaluru",CARDING_VELOCITY,1
txn_rzp_000078,p2p_lottery_claim,usr_99174,30418.41,JEWELRY,NETBANKING,124,0.10978714919289899,0,33.4,93.97053677790637,0,1,0,1,2,197.7,1,1,0,0.01,0,0,0,0,0,92.4,0,7.3,0.18,dev_hash_83584,user_435@okhdfcbank,"House No 469, Bengaluru",CLEAN,0
txn_rzp_000079,p2p_lottery_claim,usr_9285,135601.77,INVESTMENT_FEE,COD,109,0.21103213974078114,0,71.9,82.86839367082695,0,1,0,1,2,59.4,0,1,0,0.02,0,0,0,0,0,80.7,0,14.6,0.05,dev_hash_40775,user_650@okhdfcbank,"House No 70, Bengaluru",CLEAN,0
txn_rzp_000080,mch_quick_vouchers,usr_88881,128885.84,P2P_TRANSFER,NETBANKING,135,0.1688969239167833,0,64.7,96.99842415800192,0,1,0,1,2,8.0,0,1,0,0.17,0,0,0,0,0,78.1,0,14.5,0.1,dev_hash_46666,user_133@okhdfcbank,"House No 354, Bengaluru",CLEAN,0
